Samples:              1000
Code base length:     50
Closeness difference: 8

Sample  Min_diff  Max_diff  Num_close
   861         3        15        488
   862         7        18          3
   863         6        17         74
   864         2        16        465
   865         3        13        517
   866         5        16        177
   867         4        17        303
   868         2        13        789
   869         1        14        870
   870         3        14        492
   871         6        16        139
   872         3        14        453
   873         3        15        452
   874         4        17        298
   875         3        16        512
   876         1        13        890
   877         5        18        114
   878         3        15        449
   879         3        16        436
   880         5        18        142
   881         3        14        640
   882         2        13        787
   883         2        15        637
   884         2        15        677
   885         4        14        465
   886         2        14        467
   887         6        19         48
   888         1        14        796
   889         6        18         39
   890         3        15        612
   891         4        16        266
   892         4        16        405
   893         2        14        798
   894         8        20          0
   895         3        17        317
   896         5        17        112
   897         4        16        258
   898         2        14        601
   899         4        16        418
   900         3        14        454
   901         5        17         33
   902         2        14        773
   903         4        17        314
   904         5        17        255
   905         2        14        779
   906         2        15        635
   907         4        16        227
   908         2        14        600
   909         4        16        494
   910         4        17        267
   911         1        16        487
   912         6        18         42
   913         5        17        219
   914         2        13        666
   915         3        15        448
   916         2        16        459
   917         3        15        442
   918         4        17        446
   919         4        16        244
   920         5        15        157
   921         2        16        599
   922         3        14        304
   923         2        15        623
   924         3        15        612
   925         1        14        793
   926         4        17        252
   927         4        17        238
   928         6        19          5
   929         4        16        414
   930         7        19          1
   931         1        15        778
   932         5        16        120
   933         4        15        281
   934         1        14        887
   935         5        17        114
   936         3        16        476
   937         2        14        767
   938         3        17        286
   939         5        15        277
   940         2        15        770
   941         6        18         35
   942         4        15        419
   943         8        20          0
   944         4        17        301
   945         3        14        643
   946         3        15        481
   947         5        17         55
   948         2        15        771
   949         6        18         27
   950         3        16        461
   951         4        17        315
   952         2        14        642
   953         4        17        127
   954         6        18         84
   955         7        19          1
   956         0        14        880
   957         3        16        411
   958         4        16        247
   959         5        17         43
   960         5        17        100
   961         5        18        115
   962         6        16         31
   963         2        16        587
   964         3        15        438
   965         3        16        596
   966         2        16        608
   967         3        15        610
   968         9        18          0
   969         5        16         84
   970         7        21          3
   971         3        14        624
   972         3        16        603
   973         6        17        121
   974         6        17         33
   975         4        16        285
   976         1        14        870
   977         2        14        764
   978         4        17        250
   979         2        15        459
   980         1        15        772
   981         3        14        598
   982         2        15        626
   983         3        17        287
   984         1        14        788
   985         4        15        280
   986         4        16        300
   987         6        19         36
   988         3        15        604
   989         1        13        884
   990         5        17         88
   991         7        18          3
   992         3        15        469
   993         4        17        294
   994         5        18         38
   995         5        16        123
   996         2        15        770
   997         4        16        411
   998         4        16        254
   999         1        13        879
